,delta,delta_conf
migrate!617,0.034907581,0.004763538
wrbm!838,0.034891149,0.005082198
valinc!777,0.034880121,0.004796845
migrate!660,0.034868387,0.004186601
malch!402,0.03486114,0.004138637
aglparl!64,0.034837819,0.004175558
wlbm!798,0.034830903,0.005055729
agtime!106,0.034828683,0.004188632
migrate!542,0.034818206,0.003694616
rlbm!714,0.034804112,0.00400657
aglparl!52,0.034789852,0.004060132
migrate!583,0.034766205,0.004951416
migrate!424,0.034720299,0.005142313
drylandlossparam!317,0.034702332,0.004561319
valinc!782,0.034699839,0.004488859
migrate!587,0.034696867,0.004401974
migrate!433,0.034655207,0.004365799
migrate!602,0.034635131,0.004531261
drylandlossparam!304,0.034632005,0.004779487
migrate!491,0.034627366,0.004850942
ccmlbm!120,0.034615907,0.004981628
chmlbm!209,0.034590105,0.0052932
immcst!389,0.034578515,0.004898957
dfch!275,0.034526994,0.004299269
cebm!183,0.034518684,0.004319955
migrate!435,0.034493075,0.005045879
migrate!527,0.034487878,0.004899617
cebm!196,0.034429162,0.003866687
dlbm!288,0.034393526,0.00410202
foremadd!362,0.034389751,0.005101501
migrate!554,0.03436497,0.004231922
agrbm!97,0.034364639,0.004032473
migrate!478,0.034339721,0.004720597
migrate!520,0.034335227,0.004292692
drylandlossparam!306,0.034314667,0.003977982
hebm!368,0.034294913,0.004765021
agrbm!87,0.034265648,0.005251949
migrate!445,0.034255627,0.004085849
aeeiadd!32,0.034241557,0.004202081
rqbm!737,0.034152861,0.004105247
migrate!471,0.03414401,0.00504087
agtime!107,0.034143625,0.004606739
pgadd!702,0.034139357,0.004297154
aglparl!65,0.034135892,0.00463823
wvbm!843,0.034126404,0.004143229
ccplbm!162,0.034117081,0.004498564
migrate!463,0.034074375,0.00419569
chpqbm!264,0.034045095,0.004324244
ccmqbm!146,0.034036045,0.00393542
agtime!105,0.034024326,0.004569774
forbm!354,0.033972889,0.004907414
forco2!357,0.033948809,0.004764749
taxmp!765,0.033946077,0.004303412
chplbm!234,0.033945095,0.004230288
ccpqbm!166,0.033930298,0.004271349
forbm!356,0.033903489,0.004506303
rqbm!734,0.033893508,0.004733793
migrate!461,0.033885099,0.004221319
migrate!436,0.033875263,0.004082094
chpqbm!260,0.033870493,0.004515532
migrate!595,0.033870266,0.004018295
pgadd!690,0.033861524,0.003419234
ccplbm!150,0.033848845,0.003835785
agcbm!46,0.033763751,0.005371185
hebm!376,0.03374649,0.004497586
migrate!580,0.033706627,0.003988745
agrbm!91,0.033680818,0.005470815
smch!743,0.033664489,0.004882675
wmbm!813,0.033600775,0.004648311
ccmqbm!145,0.033570339,0.004591965
chpqbm!259,0.033558623,0.005286424
aeeiadd!29,0.033538388,0.004231235
ccpqbm!175,0.033458832,0.004580476
chmlbm!207,0.033443798,0.005309934
ccpqbm!176,0.033410542,0.004961322
migrate!480,0.033359915,0.004082133
diayldel!286,0.033326201,0.004763021
rqbm!724,0.033325006,0.004845376
migrate!546,0.033312919,0.004577987
aeeiadd!24,0.033260933,0.004596251
taxmp!763,0.033169244,0.00502655
aeeiadd!28,0.033154597,0.004352962
aglparl!58,0.033120405,0.004232893
henl!385,0.033104651,0.004157705
migrate!483,0.033042856,0.004586403
aeeiadd!17,0.032992211,0.005112275
chplbm!243,0.032954725,0.004438082
migrate!632,0.032952033,0.005457845
aceiadd!1,0.032905013,0.004199498
ccplbm!154,0.032884305,0.00457132
migrate!538,0.032751244,0.004566966
pc!683,0.032737807,0.004234777
extratropicalstormsdeadel!340,0.032696842,0.004589156
ccpqbm!173,0.032613635,0.004407179
valinc!790,0.032550524,0.004296601
migrate!637,0.032535784,0.003784987
dfch!269,0.032476168,0.00406669
aceiadd!7,0.032286103,0.004496485
taxmp!772,0.032227643,0.004555224
pgadd!703,0.032073704,0.003981982
foremadd!366,0.032046674,0.004700299
migrate!419,0.032024179,0.004679783
chpqbm!261,0.031564722,0.004484237
migrate!573,0.031365855,0.00350873
taxmp!770,0.031256909,0.004936856
pgadd!697,0.030118025,0.00440897
