,delta,delta_conf
dfch!267,0.039332472,0.004767426
foremadd!361,0.039326626,0.005451977
migrate!650,0.039316086,0.00506447
chmlbm!213,0.039290788,0.004673698
migrate!666,0.039286329,0.006005404
migrate!537,0.03927772,0.004947571
migrate!488,0.039267353,0.004912851
dlbm!303,0.039249273,0.004450487
ccmqbm!142,0.039231058,0.00431152
chplbm!239,0.03922548,0.005677276
chmqbm!224,0.039215071,0.004241681
chplbm!240,0.039211166,0.004803292
ecgradd!322,0.039201765,0.004923454
lifeco2!391,0.039191231,0.004433638
pc!678,0.039177777,0.004906877
migrate!642,0.039174497,0.004794339
migrate!428,0.039162896,0.00432476
migrate!623,0.039156444,0.003979452
ccmlbm!128,0.039139225,0.005523305
hebm!379,0.039131336,0.004082601
migrate!466,0.039121059,0.003821713
chmqbm!218,0.039111202,0.00486213
ccpqbm!174,0.039060701,0.005086945
ccpqbm!169,0.039032384,0.004612175
dlbm!300,0.039031141,0.00481253
smch!745,0.039028056,0.004641424
ccpqbm!171,0.039024265,0.0039504
migrate!484,0.0390017,0.004139576
pc!687,0.038990682,0.005320877
chmqbm!221,0.038986586,0.004977053
migrate!533,0.038985922,0.003799814
biosens!116,0.038983432,0.004931906
ecgradd!327,0.038982907,0.004885238
migrate!468,0.038980878,0.004356061
aceiadd!2,0.038974256,0.004482149
aceiadd!9,0.038919546,0.004572942
rqbm!725,0.038912064,0.004107303
ccpqbm!170,0.038911465,0.005328437
wlbm!803,0.038909801,0.004184785
chpqbm!262,0.038896935,0.004615374
rqbm!731,0.03888486,0.005564361
migrate!622,0.038883901,0.004378509
migrate!448,0.038882324,0.004764604
lifech4!390,0.03887893,0.005901656
chpqbm!251,0.038870858,0.004562756
migrate!432,0.03886638,0.004920964
migrate!457,0.038865951,0.004558923
sf6add!740,0.038836934,0.004238975
migrate!651,0.038835148,0.004334612
chmqbm!222,0.038826695,0.003974407
rlin!722,0.038822064,0.005688593
aglparl!51,0.038816771,0.00511889
migrate!578,0.038810224,0.005429323
migrate!532,0.03880771,0.005067588
vbel!792,0.038793132,0.004367568
migrate!511,0.038792037,0.004553703
chmlbm!202,0.038779861,0.004360294
aglparl!63,0.038776674,0.004480676
migrate!455,0.038771116,0.004833653
wmbm!816,0.038770702,0.004532045
migrate!462,0.038756472,0.004249558
wmbm!819,0.038753586,0.004418265
valinc!785,0.038743243,0.004934808
migrate!449,0.038740039,0.004744394
wrbm!827,0.038727908,0.004145402
migrate!615,0.038721525,0.004867389
chplbm!241,0.038717211,0.005917586
foremadd!363,0.038708301,0.004984598
hebm!373,0.038703663,0.004447382
cebm!195,0.0386847,0.004838485
migrate!531,0.038676848,0.004470576
chplbm!238,0.03867336,0.005396216
diayldnl!287,0.038652944,0.006089071
extratropicalstormsdamel!339,0.038646309,0.005286209
ccmlbm!126,0.038644803,0.004610235
rqbm!729,0.03863473,0.00516382
forbm!355,0.038628152,0.004200953
lifeco4!393,0.0386245,0.004869112
agrbm!84,0.038617433,0.004564031
aceiadd!11,0.038616011,0.005448205
ccpqbm!181,0.038613416,0.003643602
ccpqbm!179,0.038610905,0.004728295
ccmqbm!149,0.038596067,0.004881742
wlbm!804,0.038592399,0.004799315
migrate!495,0.038578541,0.005231697
watechrate!797,0.038577549,0.005059715
hurrdeadel!387,0.038576225,0.004557434
wrbm!830,0.038575165,0.005057599
pc!681,0.038570053,0.004885627
hebm!383,0.03856594,0.004510617
migrate!668,0.038563664,0.005402042
migrate!644,0.038561457,0.004357198
chmqbm!219,0.038556279,0.005277803
migrate!446,0.038545296,0.004390326
chplbm!246,0.038531012,0.004204364
rlbm!721,0.038524203,0.004475899
malnl!414,0.038490889,0.004122047
migrate!567,0.038488443,0.004566355
agtime!112,0.038483414,0.005085107
migrate!662,0.038480246,0.004814533
aceiadd!12,0.038477287,0.005017867
ccplbm!155,0.038471237,0.004677323
migrate!636,0.038459667,0.00593054
chplbm!236,0.038443688,0.004383718
migrate!643,0.038442242,0.005064537
migrate!440,0.038432302,0.004744646
migrate!516,0.038428705,0.004324738
drylandlossparam!308,0.03841988,0.005040275
ccmqbm!144,0.0384083,0.004534527
valinc!789,0.038407957,0.004807983
migrate!456,0.038400073,0.004034604
ecgradd!324,0.038397056,0.004901389
migrate!669,0.0383822,0.004019712
forbm!348,0.038380469,0.005091617
rlbm!706,0.038372987,0.005261596
migrate!659,0.038362489,0.004157519
rqbm!732,0.038362294,0.005395083
valinc!779,0.038356982,0.004079879
valinc!791,0.038352767,0.004129249
hurrpar!388,0.038339543,0.004625006
agtime!109,0.038317041,0.005089698
ccplbm!157,0.038296987,0.0044212
chpqbm!263,0.038294571,0.004141196
valinc!787,0.03829343,0.004602763
