trial, SCC: 2030
1,43.10504167
2,24.37706243
3,45.62601805
4,54.25787691
5,138.8711486
6,53.17057367
7,34.90344165
8,65.86277181
9,23.16307552
10,65.83783125
11,75.57770992
12,170.079019
13,50.30917854
14,65.30556139
15,54.09832063
16,46.08006554
17,26.99031794
18,52.15078841
19,45.35567222
20,46.75785702
21,28.35459564
22,37.78283169
23,75.69548631
24,34.19546889
25,43.89860346
26,44.16682292
27,26.5467461
28,24.56392328
29,41.86189317
30,86.86407839
31,30.44775819
32,51.99599114
33,84.6266219
34,27.0836512
35,30.92117342
36,41.68715082
37,107.8467465
38,61.34584541
39,86.84139484
40,29.86406111
41,39.16586407
42,116.5380228
43,44.31852774
44,30.25912993
45,61.14377602
46,30.84487462
47,85.83372432
48,42.87676999
49,70.5238903
50,111.5784086
51,28.58919743
52,31.69594293
53,31.62614417
54,22.17280414
55,30.11993458
56,23.4465497
57,17.55152547
58,37.17210373
59,69.02493125
60,46.48966271
61,39.52202286
62,84.42464205
63,56.64093295
64,128.6043012
65,37.83878252
66,30.04946363
67,43.02331611
68,53.83175009
69,78.79237879
70,99.70114648
71,40.97860736
72,76.32010005
73,36.23905185
74,26.90432119
75,26.03520693
76,26.89018425
77,48.91599201
78,37.82598678
79,56.70287262
80,34.41074841
81,21.93861476
82,86.15641944
83,66.7020038
84,50.09519897
85,80.38885526
86,57.33437065
87,21.44785569
88,52.70149062
89,32.90266016
90,95.9463394
91,27.30803465
92,22.2364493
93,35.55316969
94,68.91842219
95,58.68937891
96,130.0091244
97,111.2316152
98,47.05716621
99,71.59408066
100,22.38720326
101,28.41313794
102,43.94334469
103,98.63944714
104,37.12247278
105,51.64917464
106,43.42703429
107,145.2936323
108,47.3471144
109,131.8038361
110,67.1763652
111,99.52117432
112,33.54904565
113,90.14876193
114,61.10583825
115,44.22184253
116,81.90505576
117,179.0893038
118,53.88738838
119,20.44626611
120,35.2583728
121,83.44873793
122,45.68878938
123,29.50234889
124,41.32057662
125,42.23528098
126,90.18286662
127,37.55230554
128,26.58010775
129,24.54121112
130,136.2317453
131,63.91870273
132,34.86891219
133,91.23975419
134,23.19218025
135,48.43328575
136,28.99997384
137,54.49246715
138,40.15780441
139,99.85181107
140,61.43639438
141,69.7021423
142,59.46737269
143,22.35119405
144,63.84669954
