trial, SCC: 2030
1, 23.659185357437867
2, 28.604249358381143
3, 48.300253319084675
4, 19.456774014013124
5, 11.884917706767787
6, 83.701761672656
7, 22.31306789099579
8, 69.2877755934252
9, 39.754627593331584
10, 19.170116802097553
11, 47.29818075217452
12, 51.25987571588238
13, 34.53382331160508
14, 51.14195512719139
15, 20.458397169823293
16, 18.38708531660908
17, 28.48010726160761
18, 27.244294277279675
19, 34.33623256741024
20, 37.989931621840476
21, 22.368769015205718
22, 44.4687455903524
23, 43.38073437982657
24, 13.078068735175732
25, 28.67440835059598
26, 58.61780102998862
27, 64.1164293499149
28, 14.762727079672041
29, 14.667174446265095
30, 23.540674484073772
31, 43.91717048271062
32, 17.50915558512124
33, 12.846336683379295
34, 38.00100259130686
35, 26.142920155487985
36, 42.09505286571451
37, 76.227063266344
38, 29.11752983553482
39, 20.06814843872386
40, 41.60727705977338
41, 31.993253576081873
42, 15.978989994135732
43, 47.06539443861663
44, 51.81461388600805
45, 36.607172364407745
46, 23.42354533740828
47, 109.54822804467757
48, 85.60518588468143
49, 30.570632967658558
50, 54.44693036286295
51, 14.69410225305998
52, 69.51115826276691
53, 43.89515592998601
54, 27.190766559952074
55, 19.165959133906217
56, 24.175734572937955
57, 24.183716759704918
58, 42.42093150168332
59, 44.3083654110984
60, 89.42937736660788
61, 147.00049017769214
62, 20.14917308996204
63, 23.346037813971677
64, 16.47207476182628
65, 38.91061215392934
66, 16.259231116760237
67, 46.22782706095868
68, 49.74318723430432
69, 26.301359394444216
70, 22.22508042824378
71, 36.56584029873153
72, 15.72459866927362
73, 24.778034725072676
74, 31.361823455332296
75, 13.42116955565119
76, 35.40253878043595
77, 17.902815389263864
78, 25.670511228167047
79, 69.27551995589428
80, 41.27878253615203
81, 36.75297780509719
82, 13.437474029335254
83, 5.791742097023092
84, 13.653033930695225
85, 27.211737263845972
86, 10.966650334187007
87, 31.86029850510472
88, 39.91629136845198
89, 33.545755447523014
90, 37.73766310023375
91, 12.973272775719781
92, 41.35943115329892
93, 31.8294539685858
94, 20.763180848083095
95, 23.81080251348759
96, 27.177405364704974
97, 22.511795887661737
98, 30.835067679702085
99, 71.0220349904702
100, 50.90183592984446
101, 77.5446194673589
102, 17.669701194407335
103, 30.2127792708332
104, 14.065796820703454
105, 51.057715424868654
106, 27.727681516796352
107, 47.2828266055669
108, 38.95252889684784
109, 47.33968288687006
110, 28.176125072924414
111, 61.24762863799422
112, 29.597108146543835
113, 20.102047426964475
114, 26.388161332847645
115, 21.372080443574912
116, 35.66878374635528
117, 38.770302730281415
118, 38.993581754383534
119, 82.13688914013046
120, 16.98809462476796
121, 17.929567137294942
122, 58.35205971254845
123, 11.775750848931391
124, 41.09334491968567
125, 48.85256855214816
126, 54.19251816680873
127, 103.1323721019919
128, 19.634528598416452
129, 14.343457058637942
130, 23.729486600858014
131, 38.03795870908586
132, 62.32946499099991
133, 102.60176451929226
134, 27.68874991702496
135, 21.512127100373572
136, 13.477127345274655
137, 61.34429898692536
138, 35.80122354162984
139, 85.47830846796593
140, 51.76778751008312
141, 12.654400435131379
142, 42.01934936703614
143, 27.90768870950732
144, 35.486135370457625
145, 53.03624374067085
146, 30.421957357065907
147, 38.14867637697461
148, 36.99195108335232
149, 96.39210225612057
150, 43.60452794287433
151, 38.58255695882327
152, 17.75854092819371
153, 39.0463097577119
154, 61.14287771798891
155, 110.17121337339616
156, 24.003491902932442
157, 19.39202745020363
158, 60.158994241633664
159, 42.089188507039346
160, 37.37169215587954
161, 23.985402132154057
162, 35.930436681927425
163, 64.23473339239614
164, 25.18370980989919
165, 27.08293723332501
166, 21.331779536731
167, 17.814208871210667
168, 61.76655694110098
169, 33.54722382530061
170, 30.584043259783574
171, 26.064132321957647
172, 15.423449879107952
173, 31.010474974641447
174, 30.74280770122065
175, 49.98130787945031
176, 24.17240782836297
177, 26.602522535992737
178, 46.200898756543246
179, 33.4414414380211
180, 35.09197263827579
181, 48.102403830782556
182, 95.90451064723001
183, 34.865575033423184
184, 83.10384434675252
185, 21.609127054712708
186, 46.25199212821488
187, 54.563513282788534
188, 26.78821262463415
189, 36.923470773239046
190, 22.643444993715608
191, 13.244043040505872
192, 92.31435685681464
193, 38.103176590875826
194, 23.49131070530156
195, 28.848863909720137
196, 83.63038606449169
197, 23.37356819561868
198, 71.84624689174714
199, 47.614610356898865
200, 25.460997205477323
201, 51.06090008799384
202, 55.54524628050006
203, 8.910663799628287
204, 31.83716892159712
205, 32.67422706175088
206, 83.40232526890155
207, 23.612481833941708
208, 36.96623610658018
209, 83.43940790844222
210, 47.26529337754884
211, 61.2698537222071
212, 22.36304049334122
213, 79.66026599733254
214, 65.27654570473726
215, 12.771923432416406
216, 19.368834539387997
217, 20.888501474440453
218, 42.60349127386089
219, 8.485560487976297
220, 25.00920257138211
221, 36.412210539546955
222, 13.792221344502746
223, 49.55749659838466
224, 14.559876013335185
225, 30.050735889818277
226, 26.151757157079548
227, 20.14162028237028
228, 35.09622588797519
229, 18.57727766227548
230, 49.45531012353034
231, 36.73346735287434
232, 33.667158823447856
233, 29.58200962790741
234, 38.10854410567751
235, 85.71190026673142
236, 32.54851311375218
237, 39.78116704717622
238, 23.298906591948512
239, 56.7172922304471
240, 39.508171023988055
241, 82.08760812113842
242, 32.82406272247378
243, 79.71421166441235
244, 31.810700254585484
245, 47.636601764086315
246, 28.869803730531995
247, 38.90159223184095
248, 48.7314033744866
249, 10.830625457274646
250, 73.92120067461127
251, 60.34513878858284
252, 47.1446473025164
253, 83.49682529378757
